,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
0,1,1,2014-10-29,@,TOR,L,102,109,109.1,116.6,93.5,.213,.275,.583,46.7,65.0,6.4,12.5,,.581,16.3,23.8,.113,,.456,7.9,66.7,.300
1,2,2,2014-11-01,,IND,W,102,92,110.0,99.2,92.7,.478,.290,.611,45.7,74.3,10.8,12.2,,.558,12.6,8.3,.362,,.457,16.6,75.6,.222
2,3,3,2014-11-05,@,SAS,L,92,94,97.3,99.5,94.5,.120,.272,.475,42.5,68.4,14.8,9.6,,.457,11.8,20.4,.087,,.486,18.1,71.1,.391
3,4,4,2014-11-07,@,CHO,L,119,122,104.6,107.3,94.1,.280,.355,.570,42.7,65.1,7.0,3.9,,.532,15.4,14.9,.215,,.526,14.9,73.8,.206
4,5,5,2014-11-08,,NYK,W,103,96,115.8,107.9,88.9,.444,.272,.532,48.2,54.5,11.2,7.9,,.463,7.6,27.9,.346,,.524,14.4,69.0,.095
5,6,6,2014-11-10,@,NYK,W,91,85,104.0,97.1,87.5,.394,.380,.546,48.7,74.1,8.0,5.3,,.451,15.3,23.7,.380,,.470,14.5,72.5,.084
6,7,7,2014-11-12,,UTA,W,100,97,111.5,108.2,89.7,.237,.263,.596,60.5,59.0,8.9,6.3,,.572,17.7,37.1,.171,,.529,10.8,80.5,.070
7,8,8,2014-11-14,,MIA,W,114,103,122.5,110.6,93.1,.307,.373,.670,52.9,78.6,10.7,9.4,,.633,13.2,10.0,.253,,.541,14.1,86.8,.311
8,9,9,2014-11-15,@,CLE,L,94,127,96.5,130.4,97.4,.144,.244,.491,44.0,65.0,6.2,13.6,,.461,15.8,23.9,.122,,.650,12.0,68.4,.111
9,10,10,2014-11-18,,LAL,L,109,114,119.5,125.0,91.2,.271,.318,.573,46.3,53.7,7.7,4.3,,.535,9.5,29.5,.212,,.575,10.2,65.8,.161
10,11,11,2014-11-21,,DET,W,99,89,109.5,98.4,90.4,.325,.300,.541,50.5,52.6,7.7,8.1,,.506,9.0,20.0,.225,,.398,11.4,74.5,.277
11,12,12,2014-11-25,@,WAS,W,106,102,110.4,106.2,96.0,.400,.294,.530,47.8,47.2,16.7,9.4,,.465,9.1,27.9,.318,,.482,17.1,66.0,.250
12,13,13,2014-11-26,,TOR,L,115,126,123.9,135.8,92.8,.293,.293,.621,47.1,73.8,2.2,7.5,,.573,12.3,26.5,.256,,.598,10.2,67.6,.341
13,14,14,2014-11-28,,NOP,W,100,91,111.9,101.8,89.4,.289,.224,.584,50.0,68.4,6.7,10.8,,.533,17.4,29.7,.250,,.444,11.1,66.0,.135
14,15,15,2014-11-29,,CHO,W,105,75,118.1,84.4,88.9,.213,.307,.640,53.7,77.5,9.0,7.7,,.613,12.8,16.7,.173,,.358,11.2,75.0,.136
15,16,16,2014-12-02,,BOS,W,109,105,110.2,106.2,98.9,.171,.293,.618,42.5,83.7,8.1,13.1,,.591,15.4,10.8,.146,,.560,19.0,75.0,.131
16,17,17,2014-12-03,@,MIA,W,112,102,121.7,110.9,92.0,.311,.338,.666,50.0,62.5,9.8,2.1,,.622,16.0,16.1,.270,,.609,18.7,86.2,.375
17,18,18,2014-12-05,@,BRK,W,98,75,103.6,79.3,94.6,.296,.420,.535,47.4,62.9,12.7,6.5,,.512,9.8,12.5,.185,,.394,16.1,81.6,.150
18,19,19,2014-12-07,,DEN,W,96,84,103.8,90.8,92.5,.218,.310,.503,45.3,72.2,9.7,6.9,,.471,11.2,23.4,.161,,.398,12.4,66.7,.108
